POS_ID;Store Nbr;Store Name;SAP_Code;Chain;Commercial Group;Store/Business Type;Subchannel;Channel;Trade;Segment;Occasion;Occasion Segment;Mechandiser;Supervisor;Provice or Commune;City;State or Region;Country;COU
EC000000;100000040;100000040;73033;ALMACENES JUAN ELJURI LTDA;Unclassified;TIENDA A TIENDA;Unclassified;OFF TRADE;TIENDA A TIENDA;Unclassified;VENDEDOR AJE LICORES;1;Unclassified;Unclassified;Unclassified;Unclassified;CUE;ECUADOR;0
EC000000;100000040;100000040;123;ALMACENES JUAN ELJURI LTDA;Unclassified;TIENDA A TIENDA;Unclassified;OFF TRADE;TIENDA A TIENDA;Unclassified;VENDEDOR AJE LICORES;1;Unclassified;Unclassified;Unclassified;Unclassified;CUE;ECUADOR;0
